stid,station_name,lat,lon,elev,begints,iem_network
CYZV,SEPT ILES,50.22333,-66.26556,55,1955-07-02 00:00,CA_QC_ASOS
CXZV,SEPT-ILES  QUE,50.21667,-66.25,52,2004-08-16 00:00,CA_QC_ASOS
CXSH,SHAWINIGAN CS  QUE,46.56333,-72.73333,110,2000-01-07 00:00,CA_QC_ASOS
CYSC,SHERBROOKE,45.43861,-71.69139,241,1962-05-01 00:00,CA_QC_ASOS
CMPL,S POLYCARPE71306,45.3,-74.3,51,2004-08-17 00:00,CA_QC_ASOS
CWBZ,ST ANICET,45.12083,-74.28944,49,2000-01-07 00:00,CA_QC_ASOS
CMSC,ST CELESTIN,46.2,-72.45,57,2004-08-17 00:00,CA_QC_ASOS
CWVQ,STE ANNE DE BELLEVUE 1  QUE,45.42722,-73.92917,39,1994-01-31 00:00,CA_QC_ASOS
CWIT,STE CLOTHILDE  QUE,45.16722,-73.67889,52,1991-10-31 00:00,CA_QC_ASOS
CWJB,STE FOY (U. LAVAL)  QUE,46.78028,-71.2875,91,1997-11-30 00:00,CA_QC_ASOS
CWIU,ST GEDEON,48.48333,-71.78333,109,2002-08-16 00:00,CA_QC_ASOS
CWIA,ST HENRI,48.65,-71.85,96,2002-08-14 00:00,CA_QC_ASOS
CWJT,ST JOVITE  QUE,46.08028,-74.55583,239,1993-03-19 00:00,CA_QC_ASOS
CYTQ,TASIUJAQ A,58.66777,-69.95583,31,1992-05-05 00:00,CA_QC_ASOS
CYRQ,Trois Rivieres,46.3528,-72.6794,56.619442,2013-12-13 00:00,CA_QC_ASOS
CWTY,TROIS RIVIERES  QUE,46.35861,-72.51611,6,1991-11-06 00:00,CA_QC_ASOS
CYMU,UMIUJAQ,56.53616,-76.51816,71,1993-02-25 00:00,CA_QC_ASOS
CYOY,VALCARTIER AIRPORT,46.9003,-71.5033,168,1978-10-30 00:00,CA_QC_ASOS
CYVO,Val D Or,48.0564,-77.7867,337,1955-07-02 00:00,CA_QC_ASOS
CWHM,VARENNES  QUE,45.72306,-73.37667,192,1994-08-04 00:00,CA_QC_ASOS
CWVY,Villeroy,46.4496,-71.9137,107,2002-08-11 00:00,CA_QC_ASOS
CYKQ,WASKAGANISH AIRPORT,51.47332,-78.75839,23,1996-04-01 00:00,CA_QC_ASOS
